1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000
0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000
0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000
0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0.100,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000
0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000
0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0.200,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000
0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0.300,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0.400,1.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000
